id,crop
3961,3
811,2
2471,3
3950,5
414,6
2664,1
6855,5
5219,6
2287,4
5108,0
764,1
4899,4
6737,5
257,2
1971,1
4679,4
6100,1
3941,2
2622,2
6825,1
473,6
970,6
2886,2
1662,2
5489,3
4643,0
3707,1
1754,3
6419,2
5922,3
889,6
931,1
2053,3
2860,2
2199,6
1511,1
293,4
1371,0
1022,6
4169,4
6564,6
1595,1
5454,4
4999,2
4332,5
322,0
6659,0
6898,3
3815,0
1009,0
3703,1
2018,6
3268,3
1423,2
1210,2
4672,6
511,5
505,1
4884,3
5593,1
5221,4
1615,0
3434,6
5670,1
1181,0
367,6
6777,3
2650,6
1109,4
6666,4
324,5
3491,4
1215,1
2119,5
5648,6
4838,4
5445,3
3377,0
438,0
2310,5
3182,5
879,2
3150,5
6832,4
6415,4
6758,0
4019,3
535,5
2718,0
2132,4
1918,6
373,0
286,4
3411,0
2522,1
6339,1
2523,4
432,6
5038,5
5621,1
247,0
2166,4
6982,5
4830,3
2892,0
1446,4
1871,4
5244,2
6690,3
6311,3
6579,4
733,5
1018,2
2517,6
1544,4
3689,1
3437,0
4562,5
6380,4
4236,3
533,2
5940,4
2835,1
4398,1
1119,0
6169,3
2127,5
4394,2
3450,3
5741,3
2569,2
142,2
1934,6
6512,5
3163,3
2153,0
5884,1
6068,1
5010,0
315,5
1702,6
4697,4
2002,2
6783,4
151,2
6406,5
4558,3
333,5
4633,4
982,2
4381,5
3745,2
4046,1
5774,5
4624,4
4151,3
4983,0
6791,2
5694,5
3308,5
3101,0
6748,1
6960,6
1756,5
3481,1
915,4
84,0
742,5
3973,0
4756,6
1773,4
6588,1
3209,2
6475,1
3686,6
2398,4
2024,4
5941,5
1758,5
2069,5
4655,0
2996,5
1244,4
1002,4
2184,0
1223,6
2276,1
5347,6
2948,2
2812,5
3761,3
893,2
3000,5
3035,0
1317,3
3438,6
3269,3
1419,3
3197,5
231,0
927,6
2836,6
3260,6
5867,2
5669,0
4882,1
221,6
1926,0
1175,5
2770,0
2859,6
5493,1
4250,2
1720,6
5363,4
4247,6
4173,2
3559,0
5231,0
6048,0
833,2
3328,6
1862,0
3624,6
3469,1
2118,4
6952,5
1755,5
3185,5
5514,0
3039,1
2183,5
6055,3
380,5
2098,5
1046,5
4269,1
5327,3
5945,6
4099,5
5617,3
73,2
3098,0
1883,5
4789,0
1569,0
5441,6
5087,4
2540,3
6845,4
4078,2
5103,4
4622,3
6354,3
2182,1
2927,2
6426,2
106,2
6887,5
530,1
6364,2
5872,0
5589,1
3142,3
4510,6
181,1
2992,1
3045,5
6369,0
5716,0
5414,4
4988,0
3799,2
3592,2
1219,2
907,2
4641,3
387,4
5985,0
1362,1
2574,6
1919,4
1260,4
3024,3
6435,4
5050,3
810,3
176,2
1041,4
376,0
279,3
3879,4
5291,5
4878,3
6208,4
6308,0
3479,2
1582,2
3733,3
2794,5
4553,5
251,4
6821,6
3827,2
1020,0
5641,5
4693,5
763,0
4523,4
1961,6
3433,5
3172,4
4991,0
3656,1
6338,3
5113,3
5076,6
1632,4
5594,0
3276,4
4696,6
622,6
5776,1
3862,1
5994,6
3256,3
6064,1
5556,5
80,6
1789,0
2862,4
6217,4
434,5
1339,0
1235,6
121,1
1840,3
2406,6
4128,3
3935,0
2715,6
6533,3
5178,3
3133,4
1411,0
6079,2
1880,2
2189,3
2676,2
95,3
5837,6
4919,0
5888,3
1295,6
5459,1
2576,5
1514,2
90,2
1876,0
2413,3
2654,5
6240,3
3193,0
5444,2
5698,1
1128,2
881,4
1536,1
6556,5
6127,5
6233,1
1940,2
585,4
5285,6
2473,2
132,3
6465,6
336,1
1869,5
1374,0
3181,1
1795,6
5037,2
349,2
3366,2
